epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9114,3.32197,5.36709,1.0954,0.002,0.01316,0.00105,0.00074,3.5822,5.15705,1.16527,0.0673204,0.000330097,0.000330097
2,47.1129,3.32953,3.88042,1.11094,0.17246,0.08664,0.05346,0.01363,3.62731,4.25378,1.2394,0.0343138,0.000656862,0.000656862
3,66.9531,3.29191,3.66549,1.1165,0.67902,0.07895,0.0797,0.0325,3.50733,4.10068,1.21112,0.00130065,0.000977028,0.000977028
4,86.7239,3.3764,3.6097,1.0642,0.1838,0.14818,0.07858,0.02901,3.55124,3.6946,1.1794,0.0009703,0.0009703,0.0009703
5,106.465,3.29216,3.52791,1.0879,0.2529,0.13636,0.09917,0.03396,3.32559,3.48231,1.15523,0.0009604,0.0009604,0.0009604
6,126.227,3.37253,3.48807,1.05032,0.41552,0.10202,0.14726,0.05741,3.08906,3.27054,1.07472,0.0009505,0.0009505,0.0009505
7,146.07,3.56444,3.54931,1.06261,0.21064,0.18421,0.1595,0.05773,3.41626,3.40826,1.0608,0.0009406,0.0009406,0.0009406
8,165.87,3.49131,3.21838,1.06515,0.13364,0.14474,0.11046,0.04162,3.40398,3.40086,1.0896,0.0009307,0.0009307,0.0009307
9,185.492,3.41192,3.24939,1.06143,0.54721,0.08719,0.18811,0.08741,3.44812,3.54567,1.09256,0.0009208,0.0009208,0.0009208
10,205.302,3.31352,3.21494,1.0337,0.364,0.17328,0.19579,0.08228,3.38477,3.33122,1.08091,0.0009109,0.0009109,0.0009109
11,225.173,3.40796,3.1934,1.07118,0.71203,0.17105,0.15157,0.05281,3.1589,3.14881,1.07077,0.000901,0.000901,0.000901
12,245.404,3.04927,3.10635,0.97423,0.27315,0.17874,0.17888,0.08714,3.22132,3.24134,1.02607,0.0008911,0.0008911,0.0008911
13,265.951,3.16526,2.96045,1.0147,0.25017,0.2413,0.17457,0.06218,3.09939,3.10187,1.01481,0.0008812,0.0008812,0.0008812
14,286.183,3.18418,3.10287,0.99567,0.30988,0.20692,0.20589,0.0852,3.2474,2.99661,1.0272,0.0008713,0.0008713,0.0008713
15,306.006,3.17858,3.03811,1.05173,0.27538,0.23329,0.20073,0.08175,3.12873,2.91976,1.02763,0.0008614,0.0008614,0.0008614
16,325.85,3.17707,2.97762,1.01927,0.26555,0.29615,0.19772,0.09062,3.23894,2.96655,1.01665,0.0008515,0.0008515,0.0008515
17,345.818,3.14385,2.75559,0.98883,0.30936,0.28077,0.24057,0.08804,3.10483,2.87414,1.02838,0.0008416,0.0008416,0.0008416
18,365.64,3.04518,2.75705,0.97016,0.25199,0.25734,0.18626,0.08394,3.06906,2.8977,1.01229,0.0008317,0.0008317,0.0008317
19,385.239,3.10746,2.71973,0.99862,0.27672,0.29838,0.21936,0.09577,2.99978,2.78892,0.99665,0.0008218,0.0008218,0.0008218
20,404.853,3.16538,2.7649,1.00579,0.5061,0.24453,0.2361,0.10625,2.93666,2.73061,1.00828,0.0008119,0.0008119,0.0008119
21,424.486,3.14681,2.82381,1.00783,0.32508,0.2249,0.25131,0.10625,2.94921,2.78741,1.00066,0.000802,0.000802,0.000802
22,444.227,3.03933,2.69386,0.95842,0.25844,0.29393,0.22394,0.08707,3.08197,2.74417,1.03087,0.0007921,0.0007921,0.0007921
23,463.922,3.17383,2.76877,0.96882,0.27833,0.21721,0.17654,0.07291,3.15946,2.90827,1.00605,0.0007822,0.0007822,0.0007822
24,483.55,3.18234,2.86264,0.99892,0.27335,0.317,0.21554,0.08735,2.98027,2.75305,1.00207,0.0007723,0.0007723,0.0007723
25,503.197,3.07612,2.69761,0.96624,0.59869,0.25543,0.29844,0.11849,3.0608,2.63738,1.01614,0.0007624,0.0007624,0.0007624
26,522.903,3.08315,2.61249,1.00796,0.52438,0.31923,0.32226,0.14837,3.11222,2.60428,1.01877,0.0007525,0.0007525,0.0007525
27,542.594,3.0547,2.69912,0.98631,0.43831,0.33338,0.34786,0.13686,2.9929,2.45621,1.01005,0.0007426,0.0007426,0.0007426
28,562.161,3.13241,2.77132,0.99598,0.39907,0.35425,0.31242,0.12704,2.97762,2.53252,0.99595,0.0007327,0.0007327,0.0007327
29,581.874,3.04757,2.64218,0.98442,0.48605,0.35324,0.33733,0.15519,2.8393,2.45594,0.97426,0.0007228,0.0007228,0.0007228
30,601.922,3.11068,2.48845,0.96917,0.3379,0.30931,0.30054,0.14034,2.87423,2.54951,0.98451,0.0007129,0.0007129,0.0007129
31,621.833,3.16053,2.86642,1.01261,0.47191,0.28608,0.28674,0.13827,2.94096,2.56304,0.99951,0.000703,0.000703,0.000703
32,641.697,3.04069,2.53999,0.98763,0.42554,0.35324,0.34032,0.1419,2.94437,2.45545,1.01985,0.0006931,0.0006931,0.0006931
33,661.548,3.07757,2.50295,0.97398,0.44251,0.29107,0.28903,0.1353,2.96148,2.45618,1.02113,0.0006832,0.0006832,0.0006832
34,681.623,2.95885,2.54447,0.9373,0.2801,0.34332,0.27499,0.12542,2.86639,2.49806,1.01722,0.0006733,0.0006733,0.0006733
35,701.674,2.98278,2.51851,0.97299,0.29965,0.16559,0.1682,0.07262,3.05121,2.69174,1.03613,0.0006634,0.0006634,0.0006634
